Date,Issue Subject,Issue Solution,Ticket ID
2024-10-31,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4048
2024-11-17,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4049
2024-08-30,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4050
2025-06-11,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4051
2024-06-30,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4052
2024-10-29,Kubernetes ingress not routing traffic,Ingress controller was not watching correct namespace. Updated config and routing restored.,TCK-AWSDEV-4053
2024-07-27,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4054
2025-02-18,AWS IAM role not attached correctly to EC2,Instance profile lacked trust relationship. Added trust policy and role was assumed successfully.,TCK-AWSDEV-4055
2025-01-17,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4056
2025-06-02,AWS IAM role not attached correctly to EC2,Instance profile lacked trust relationship. Added trust policy and role was assumed successfully.,TCK-AWSDEV-4057
2024-08-27,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4058
2025-02-12,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4059
2025-05-21,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4060
2024-08-19,Jenkins agent offline in distributed build,Agent disconnected due to memory exhaustion. Increased JVM heap and agent remained stable.,TCK-AWSDEV-4061
2025-05-13,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4062
2025-05-06,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4063
2025-02-27,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4064
2024-12-30,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4065
2025-05-28,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4066
2025-05-06,OpenShift route not accessible externally,Route had incorrect hostname. Updated route definition and endpoint became accessible.,TCK-AWSDEV-4067
2024-10-03,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4068
2024-10-08,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4069
2024-12-26,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4070
2025-05-27,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4071
2024-11-17,Kubernetes pod stuck in terminating state,Identified finalizer misconfiguration. Manually removed finalizers and pod was deleted successfully.,TCK-AWSDEV-4072
2024-06-25,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4073
2025-02-06,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4074
2024-07-19,Kubernetes pod stuck in terminating state,Identified finalizer misconfiguration. Manually removed finalizers and pod was deleted successfully.,TCK-AWSDEV-4075
2024-07-07,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4076
2024-12-17,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4077
2025-05-03,Kubernetes ingress not routing traffic,Ingress controller was not watching correct namespace. Updated config and routing restored.,TCK-AWSDEV-4078
2024-09-10,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4079
2024-08-28,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4080
2025-04-17,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4081
2024-11-29,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4082
2024-07-26,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4083
2025-05-03,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4084
2025-06-06,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4085
2024-08-11,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4086
2025-03-30,Jenkins agent offline in distributed build,Agent disconnected due to memory exhaustion. Increased JVM heap and agent remained stable.,TCK-AWSDEV-4087
2024-08-04,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4088
2025-01-30,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4089
2025-03-01,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4090
2025-03-03,Kubernetes pod stuck in terminating state,Identified finalizer misconfiguration. Manually removed finalizers and pod was deleted successfully.,TCK-AWSDEV-4091
2024-12-22,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4092
2025-03-01,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4093
2025-03-09,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4094
2024-08-24,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4095
2025-02-05,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4096
2024-11-02,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4097
2025-03-03,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4098
2025-01-06,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4099
2025-05-12,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4100
2025-05-05,Kubernetes ingress not routing traffic,Ingress controller was not watching correct namespace. Updated config and routing restored.,TCK-AWSDEV-4101
2024-10-27,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4102
2025-05-07,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4103
2024-10-05,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4104
2025-05-04,OpenShift route not accessible externally,Route had incorrect hostname. Updated route definition and endpoint became accessible.,TCK-AWSDEV-4105
2024-07-02,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4106
2025-03-02,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4107
2025-02-28,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4108
2025-01-30,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4109
2024-11-30,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4110
2025-04-15,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4111
2025-04-04,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4112
2025-02-03,AWS IAM role not attached correctly to EC2,Instance profile lacked trust relationship. Added trust policy and role was assumed successfully.,TCK-AWSDEV-4113
2024-08-04,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4114
2025-01-10,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4115
2025-04-29,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4116
2025-01-01,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4117
2025-02-25,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4118
2024-07-27,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4119
2024-09-15,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4120
2024-08-13,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4121
2024-06-17,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4122
2024-12-20,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4123
2024-10-16,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4124
2025-03-14,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4125
2025-01-31,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4126
2025-04-18,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4127
2024-09-02,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4128
2025-04-19,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4129
2024-09-18,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4130
2024-08-05,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4131
2025-05-01,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4132
2024-11-21,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4133
2025-05-22,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4134
2024-07-04,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4135
2025-01-30,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4136
2024-10-29,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4137
2025-03-16,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4138
2024-07-01,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4139
2024-08-13,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4140
2024-11-19,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4141
2025-03-08,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4142
2025-03-18,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4143
2024-08-24,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4144
2025-05-31,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4145
2024-12-16,Docker image size excessively large,Dockerfile used unnecessary layers. Refactored Dockerfile and reduced image size by 60%.,TCK-AWSDEV-4146
2024-10-07,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4147
2024-09-19,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4148
2025-03-01,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4149
2024-08-04,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4150
2025-02-11,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4151
2025-05-04,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4152
2024-07-27,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4153
2025-01-27,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4154
2025-05-17,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4155
2025-05-19,AWS IAM role not attached correctly to EC2,Instance profile lacked trust relationship. Added trust policy and role was assumed successfully.,TCK-AWSDEV-4156
2025-05-12,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4157
2024-06-27,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4158
2024-07-22,OpenShift route not accessible externally,Route had incorrect hostname. Updated route definition and endpoint became accessible.,TCK-AWSDEV-4159
2025-02-18,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4160
2025-03-17,Jenkins agent offline in distributed build,Agent disconnected due to memory exhaustion. Increased JVM heap and agent remained stable.,TCK-AWSDEV-4161
2025-05-06,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4162
2024-06-11,Jenkins pipeline failing during artifact upload,Artifact repository credentials were expired. Rotated credentials and upload succeeded.,TCK-AWSDEV-4163
2024-08-12,AWS IAM role not attached correctly to EC2,Instance profile lacked trust relationship. Added trust policy and role was assumed successfully.,TCK-AWSDEV-4164
2024-07-28,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4165
2025-04-29,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4166
2025-01-17,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4167
2025-04-02,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4168
2025-01-04,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4169
2025-03-17,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4170
2025-06-03,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4171
2024-11-06,ArgoCD application stuck in Progressing state,Resource was missing required labels. Applied label patch and sync completed.,TCK-AWSDEV-4172
2025-03-23,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4173
2025-03-22,Kubernetes ingress not routing traffic,Ingress controller was not watching correct namespace. Updated config and routing restored.,TCK-AWSDEV-4174
2025-02-15,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4175
2024-08-10,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4176
2025-01-04,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4177
2024-12-30,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4178
2024-09-19,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4179
2024-10-23,Kubernetes ingress not routing traffic,Ingress controller was not watching correct namespace. Updated config and routing restored.,TCK-AWSDEV-4180
2024-06-26,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4181
2025-04-09,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4182
2024-12-15,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4183
2025-04-28,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4184
2024-07-08,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4185
2025-05-12,Alertmanager silences not respected,Silence was set on incorrect matcher. Updated silence config and alerts were suppressed correctly.,TCK-AWSDEV-4186
2024-07-20,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4187
2025-06-11,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4188
2024-10-27,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4189
2025-06-07,ArgoCD sync failure on application deployment,Sync failed due to invalid Helm values. Corrected values.yaml and redeployed.,TCK-AWSDEV-4190
2024-11-02,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4191
2024-10-17,DevOps pipeline blocked due to Git credentials issue,Access token had expired. Generated new token and pipeline resumed.,TCK-AWSDEV-4192
2024-09-04,Docker container fails to start with permission denied,Volume mount had incorrect permissions. Adjusted ownership and container started.,TCK-AWSDEV-4193
2024-12-18,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4194
2024-12-05,Jenkins job fails due to workspace corruption,Workspace cache contained stale data. Cleaned workspace and job executed properly.,TCK-AWSDEV-4195
2025-04-23,AWS EC2 instance unreachable after reboot,EC2 instance was missing a public IP. Assigned Elastic IP and updated route table.,TCK-AWSDEV-4196
2024-11-13,Alertmanager not sending email alerts,SMTP configuration was incorrect. Updated SMTP credentials and alerts began dispatching.,TCK-AWSDEV-4197
2025-05-12,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4198
2025-05-14,Kubernetes liveness probe failing intermittently,Probe timeout was too short under load. Increased timeoutSeconds and stability improved.,TCK-AWSDEV-4199
2024-10-09,Prometheus not scraping metrics from node exporter,Endpoint target was marked as down due to firewall rules. Opened port and metrics appeared.,TCK-AWSDEV-4200
2025-02-15,S3 bucket policy denies access to Lambda,Policy lacked s3:GetObject permission. Updated bucket policy and Lambda accessed objects successfully.,TCK-AWSDEV-4201
2024-09-12,Prometheus rule group evaluation delay,High cardinality metrics were overwhelming Prometheus. Reduced label permutations and improved performance.,TCK-AWSDEV-4202
2025-05-24,OpenShift pod evicted due to disk pressure,Node ran out of ephemeral storage. Cleared old container logs and pod was rescheduled.,TCK-AWSDEV-4203
